iter	Passed	Remaining
0	0	857
1	1	915
2	2	845
3	3	811
4	3	787
5	4	773
6	5	764
7	6	758
8	6	749
9	7	754
10	8	747
11	9	745
12	9	752
13	11	818
14	12	817
15	13	816
16	14	814
17	14	813
18	15	811
19	16	810
20	17	809
21	18	803
22	18	799
23	19	794
24	20	791
25	21	789
26	21	786
27	22	783
28	23	779
29	24	778
30	24	776
31	25	782
32	26	786
33	28	816
34	29	813
35	30	810
36	31	808
37	31	805
38	32	804
39	33	802
40	34	798
41	34	794
42	35	789
43	36	786
44	36	781
45	37	778
46	38	775
47	39	773
48	39	770
49	40	768
50	41	767
51	42	766
52	42	766
53	43	765
54	44	763
55	45	762
56	46	776
57	47	773
58	48	770
59	49	768
60	49	767
61	50	765
62	51	763
63	52	761
64	52	759
65	53	756
66	54	754
67	54	751
68	55	750
69	56	748
70	57	746
71	58	754
72	59	754
73	60	754
74	61	754
75	61	753
76	62	752
77	63	752
78	64	751
79	65	750
80	65	747
81	68	765
82	69	765
83	70	763
84	70	762
85	71	761
86	73	770
87	74	774
88	75	775
89	76	776
90	77	775
91	78	774
92	79	774
93	80	773
94	81	771
95	81	771
96	82	769
97	83	768
98	84	767
99	85	765
100	85	764
101	86	761
102	87	759
103	88	758
104	89	760
105	90	760
106	91	760
107	91	759
108	92	758
109	93	757
110	94	755
111	95	754
112	95	753
113	96	751
114	97	749
115	98	747
116	98	746
117	99	744
118	100	742
119	101	740
120	101	739
121	102	737
122	103	736
123	104	735
124	106	742
125	106	741
126	107	741
127	108	740
128	109	739
129	110	738
130	111	737
131	111	736
132	112	734
133	113	733
134	114	731
135	114	729
136	115	728
137	116	726
138	116	724
139	117	722
140	118	721
141	119	720
142	120	723
143	121	722
144	122	722
145	123	722
146	124	721
147	125	720
148	125	718
149	126	717
150	127	716
151	128	715
152	128	713
153	129	712
154	130	711
155	131	709
156	131	708
157	132	706
158	133	704
159	133	702
160	134	702
161	136	703
162	136	703
163	137	702
164	138	701
165	139	700
166	140	698
167	140	697
168	141	696
169	142	695
170	143	693
171	143	692
172	144	690
173	145	689
174	145	687
175	146	686
176	147	684
177	148	684
178	148	682
179	149	681
180	150	680
181	151	681
182	152	680
183	153	679
184	154	678
185	154	677
186	155	677
187	156	676
188	157	674
189	158	673
190	158	672
191	159	671
192	160	670
193	161	669
194	161	667
195	162	666
196	163	665
197	164	664
198	164	663
199	165	662
200	166	662
201	167	661
202	168	661
203	169	661
204	170	660
205	171	661
206	172	659
207	173	659
208	173	658
209	174	657
210	175	656
211	176	655
212	177	654
213	177	653
214	178	652
215	179	650
216	180	649
217	180	648
218	182	649
219	184	654
220	185	655
221	188	661
222	189	660
223	190	658
224	190	657
225	191	655
226	192	654
227	193	653
228	193	652
229	194	650
230	195	649
231	195	648
232	196	646
233	197	645
234	199	648
235	200	648
236	201	647
237	202	646
238	202	645
239	203	644
240	204	643
241	205	642
242	205	641
243	206	640
244	207	639
245	208	637
246	208	636
247	209	635
248	210	633
249	210	632
250	211	631
251	212	629
252	212	628
253	213	627
254	214	626
255	215	626
256	216	626
257	217	625
258	218	624
259	218	623
260	219	622
261	220	621
262	221	620
263	222	618
264	222	617
265	223	616
266	224	615
267	224	614
268	225	613
269	226	611
270	227	610
271	227	609
272	228	608
273	229	607
274	230	607
275	231	606
276	232	605
277	233	605
278	233	604
279	234	603
280	235	602
281	235	600
282	236	599
283	237	598
284	238	597
285	239	596
286	239	595
287	240	594
288	241	593
289	242	592
290	242	591
291	243	590
292	244	589
293	244	588
294	245	587
295	246	586
296	247	585
297	248	585
298	249	584
299	250	584
300	251	584
301	252	583
302	253	582
303	253	581
304	254	580
305	255	580
306	256	579
307	257	579
308	258	578
309	259	576
310	260	577
311	261	576
312	262	576
313	263	575
314	264	575
315	265	574
316	266	574
317	268	575
318	269	574
319	270	573
320	270	572
321	271	571
322	272	570
323	273	569
324	273	568
325	274	567
326	275	566
327	276	565
328	277	566
329	279	568
330	280	567
331	281	566
332	282	565
333	283	564
334	283	563
335	284	562
336	285	561
337	286	560
338	286	559
339	287	558
340	288	557
341	288	556
342	289	554
343	290	553
344	291	553
345	292	552
346	294	553
347	295	552
348	296	552
349	296	551
350	297	550
351	298	549
352	299	548
353	299	547
354	300	546
355	301	544
356	301	543
357	302	542
358	303	541
359	304	540
360	304	539
361	305	538
362	306	537
363	307	536
364	307	535
365	308	534
366	310	535
367	311	535
368	312	534
369	313	533
370	314	532
371	314	531
372	315	530
373	316	529
374	317	528
375	317	527
376	318	526
377	319	525
378	320	524
379	320	523
380	321	522
381	322	521
382	323	520
383	323	519
384	324	518
385	325	518
386	326	517
387	327	516
388	328	515
389	329	514
390	329	513
391	330	512
392	331	511
393	331	510
394	332	509
395	356	543
396	358	543
397	360	544
398	363	547
399	364	546
400	365	546
401	367	545
402	368	545
403	369	545
404	371	546
405	374	548
406	376	549
407	378	548
408	379	547
409	380	546
410	380	545
411	381	544
412	382	543
413	383	542
414	384	541
415	385	540
416	386	539
417	387	538
418	388	538
419	389	537
420	391	538
421	392	538
422	393	537
423	398	541
424	399	540
425	400	539
426	400	537
427	401	536
428	402	535
429	403	534
430	403	533
431	404	532
432	405	531
433	406	530
434	407	529
435	408	528
436	409	527
437	409	525
438	410	524
439	411	523
440	413	523
441	413	522
442	415	522
443	416	521
444	416	519
445	417	518
446	418	517
447	418	516
448	419	514
449	420	513
450	421	512
451	422	511
452	422	510
453	423	509
454	424	508
455	425	507
456	425	505
457	426	504
458	427	503
459	427	502
460	428	501
461	429	500
462	430	499
463	431	497
464	431	496
465	432	495
466	433	494
467	434	493
468	434	492
469	435	491
470	436	490
471	437	489
472	438	488
473	438	487
474	439	486
475	440	485
476	441	483
477	442	482
478	442	481
479	443	480
480	444	479
481	445	478
482	445	477
483	446	476
484	447	474
485	448	473
486	448	472
487	449	471
488	450	470
489	451	469
490	452	468
491	453	467
492	453	466
493	454	465
494	455	464
495	456	464
496	457	463
497	458	462
498	459	461
499	460	460
500	461	459
501	462	458
502	462	457
503	463	456
504	464	455
505	465	454
506	466	453
507	467	453
508	468	452
509	469	451
510	470	450
511	471	449
512	471	448
513	472	447
514	473	446
515	474	444
516	475	443
517	475	442
518	476	441
519	477	440
520	478	439
521	478	438
522	479	437
523	480	436
524	481	435
525	482	434
526	483	433
527	484	432
528	485	431
529	485	430
530	486	429
531	487	428
532	488	427
533	489	426
534	489	425
535	490	424
536	491	423
537	492	422
538	492	421
539	493	420
540	494	419
541	495	418
542	495	417
543	496	416
544	497	415
545	498	414
546	500	414
547	500	413
548	501	412
549	502	411
550	503	410
551	503	409
552	504	407
553	505	406
554	506	405
555	507	404
556	507	403
557	508	402
558	509	401
559	510	400
560	510	399
561	511	398
562	512	397
563	513	396
564	514	396
565	515	395
566	516	394
567	516	393
568	517	392
569	518	391
570	519	390
571	520	389
572	520	388
573	521	387
574	522	386
575	523	385
576	523	384
577	524	382
578	525	381
579	526	380
580	526	379
581	527	378
582	528	378
583	529	377
584	530	376
585	531	375
586	531	374
587	532	373
588	533	372
589	534	371
590	535	370
591	535	369
592	536	368
593	537	367
594	538	366
595	538	365
596	539	364
597	540	363
598	541	362
599	541	361
600	542	360
601	543	359
602	544	358
603	544	357
604	545	356
605	546	355
606	547	354
607	548	353
608	549	352
609	550	351
610	551	351
611	552	350
612	553	349
613	553	348
614	554	347
615	555	346
616	556	345
617	557	344
618	557	343
619	558	342
620	559	341
621	560	340
622	561	339
623	562	339
624	563	338
625	564	337
626	565	336
627	566	335
628	566	334
629	567	333
630	568	332
631	569	331
632	570	330
633	570	329
634	571	328
635	572	327
636	573	326
637	573	325
638	574	324
639	575	323
640	576	322
641	577	321
642	578	321
643	579	320
644	580	319
645	580	318
646	581	317
647	582	316
648	583	315
649	584	314
650	584	313
651	585	312
652	586	311
653	587	310
654	587	309
655	588	308
656	589	307
657	590	306
658	590	305
659	591	304
660	592	303
661	593	302
662	594	302
663	595	301
664	595	300
665	596	299
666	597	298
667	598	297
668	598	296
669	599	295
670	600	294
671	601	293
672	602	292
673	605	292
